sequence_id	protein	gene	adiposity	group
4973_18	cIAP_2	BIRC3	BMI	Male
4979_34	DERM	DPT	BMI	Male
4984_83	Esterase_D	ESD	BMI	Male
4987_17	FCAR	FCAR	BMI	Male
4989_7	Fibrinogen_g_chain_dimer	FGG	BMI	Male
5000_52	LG3BP	LGALS3BP	BMI	Male
5004_69	MK11	MAPK11	BMI	Male
5006_71	MK13	MAPK13	BMI	Male
5026_66	RS3	RPS3	BMI	Male
5028_59	sCD163	CD163	BMI	Male
5031_10	SPTA2	SPTAN1	BMI	Male
5036_50	TSG_6	TNFAIP6	BMI	Male
5070_76	DcR3	TNFRSF6B	BMI	Male
5095_21	KI2L4	KIR2DL4	BMI	Male
5105_2	Nogo_Receptor	RTN4R	BMI	Male
5121_3	SEM6B	SEMA6B	BMI	Male
5134_52	TIMD3	HAVCR2	BMI	Male
5138_50	TWEAKR	TNFRSF12A	BMI	Male
5249_31	DRAK2	STK17B	BMI	Male
5255_22	PDE4D	PDE4D	BMI	Male
5261_13	ABL2	ABL2	BMI	Male
5262_57	BCAR3	BCAR3	BMI	Male
5264_65	calreticulin	CALR	BMI	Male
5265_12	GRB2_related_adapter_protein_2	GRAP2	BMI	Male
5280_68	GHC2	SLC25A18	BMI	Male
5307_12	Coagulation_Factor_IXab	F9	BMI	Male
5315_22	Troponin_T	TNNT2	BMI	Male
5339_49	calgranulin_B	S100A9	BMI	Male
5349_69	DLL1	DLL1	BMI	Male
5351_52	hnRNP_A2_B1	HNRNPA2B1	BMI	Male
5352_11	HVEM	TNFRSF14	BMI	Male
5353_89	IL_1Ra	IL1RN	BMI	Male
5358_3	OMD	OMD	BMI	Male
5400_52	sLeptin_R	LEPR	BMI	Male
5410_53	CAD15	CDH15	BMI	Male
5412_53	CD27	CD27	BMI	Male
5437_63	FABP	FABP3	BMI	Male
5440_26	Troponin_I__skeletal__fast_twitch	TNNI2	BMI	Male
5441_67	Troponin_I	TNNI3	BMI	Male
